IdPublisher,PublisherName
288,Island Press
289,Longman Publishing Group
290,Grosset & Dunlap
291,Porcupine's Quill
292,
293,Atlantic
294,Egmont UK
295,Crossway Books
296,Random House
297,Phyllis Bruce Books
298,HarperCollins
299,Brown Paper Publishing
300,Dublin Review Books
301,Berkley Books
302,Prise de parole
303,Douglas & McIntyre
304,Douglas  McIntyre
305,Mel Bay Publications
306,Liverpool University Press
307,McFarland & Company
308,Barcharts
309,NB Publishing
310,Yale University Press
311,Motorbooks International
312,Windrow and Greene
313,The Secret Mountain
314,Berkley
315,Farrar Straus Giroux
316,Silhouette Intimate Moments
317,Houghton Mifflin Harcourt P
318,Disney-Hyperion
319,W. W. Norton & Company
320,American Society of Civil Engineers
321,Stanford University Press
322,Random House UK
323,Mainstream Publishing
324,Sinclair-Stevenson
325,Chatto & Windus
326,Peter Owen Publishers
327,CHATTO AND WINDUS
328,Discontinued 3PD
329,Free Press
330,Delacorte Press
331,Greenwood Press
332,Kids Can Press
333,Not Avail
334,Horizon Books
335,Winepress Publishing
336,Artangel
337,Zondervan Publishing Company
338,Arcadia Publishing (SC)
339,Living the Good News
340,Brill Academic Publishers
341,Baen Books
342,Addison Wesley Publishing Company
343,Popular Press 1
344,Howell Press
345,Hodder & Stoughton Ltd
346,Spearhead Press
347,Penn State University Press
348,"W.W. Norton & Company, Inc."
349,MacMillan Publishing Company
350,Zebra
351,Phoenix
352,Cyan Communications
353,Alfred Music
354,McGill-Queen's University Press
355,Simon & Schuster
356,Minotaur Books
357,Scarecrow Press
358,Druze Research & Publications Institute
359,"Bhavan Books & Prints,India"
360,Mandarin
361,TokyoPop
362,Henry Holt and Co. (BYR)
363,Collins (for) the Crime Club
364,LGF
365,Belin
366,St. Martin's Paperbacks
367,David & Charles
368,Harvard University Press
369,Atheneum Books
370,Chronicle Books (CA)
371,Cahiers du Cinema Livres
372,Headline
373,Headline Book Publishing
374,National Writing Institute
375,Palgrave Macmillan
376,Lulu.com
377,Folio
378,B Q Publishing Company
379,"Industrial Press, Inc."
380,Laplacian Press
381,Hesperus Press
382,Barrons Educational Series
383,Pinnacle
384,Vibe
385,Urban Books
386,Avon
387,Silhouette
388,Alfred A. Knopf
389,Faber & Faber
390,"Peter Lang Inc., International Academic Publishers"
391,Biblical Archaeology Society
392,Foulsham
393,Butterworth-Heinemann
394,American Nuclear Society
395,Viking
396,Night Shade
397,Dutton Books
398,101 Productions
399,Le Livre de Poche
400,International Universities Press
401,HarperTeen
402,Aladdin Paperbacks
403,Flash Books
404,Wolf Vlg. /Duerr+Kessler
405,Financial Book Partners
406,Business & Professional Publishing
407,Lulox
408,MacMillan
409,University of Texas Press
410,Coronet
411,Allen & Unwin Academic
412,"Sybylla Co-operative Press,Australia"
413,Virago Press (UK)
414,Michael Joseph
415,Westview Press
416,Jove
417,Watkins Publishing Limited
418,Westbridge Books/David & Charles Publishers (VT)
419,Hodder Education
420,Hodder & Stoughton
421,Pocket Essentials
422,Copper Beech Publishing
423,Hutchinson Radius
424,Heinemann Educational Books
425,Catalyst for Change
426,Adobe Press
427,Caja de Ahorros de Alicante y Murcia
428,Salem House Publishers
429,Grafton
430,Trafalgar Square Publishing
431,Aurum Press
432,Syracuse University Press
433,Tyndale House Publishers
434,Pan MacMillan
435,George Weidenfeld & Nicholson
436,Park Street Press
437,Paladin Press
438,John Brown Publishing
439,Anchor Books
440,Profile Books
441,Sidgwick & Jackson Ltd
442,Gutsoon!
443,Tor Books
444,Southern Illinois University Press
445,Roaring Brook Press
446,Little Simon
447,Clarendon Press
448,Macmillan Education Australia
449,"Farrar, Straus and Giroux"
450,Granta Books (Uk)
451,Benjamin-Cummings Publishing Company
452,Andrews McMeel Publishing
453,Fourth Estate
454,Nick Hern Books
455,Citadel
456,Houghton Mifflin Harcourt
457,Orion
458,Tales from the Other Side
459,Random House Australia
460,Berkley Trade
461,Africa Research and Publications
462,State University of New York Press
463,Princeton University Press
464,Random House Value Publishing
465,Jossey-Bass
466,Rutgers University Press
467,Toxic
468,The Guilford Press
469,Allen Lane
470,Penguin (Penguin Modern Classics)
471,Warner Books (NY)
472,HarperEntertainment
473,Sidgwick & Jackson Ltd (London)
474,Penguin Books Ltd
475,New Holland Publishers Ltd
476,Blandford
477,Robinson Press
478,University of New Mexico Press
479,DAW Books Inc.
480,Panther Books
481,Sphere Books Limited
482,Clarkson Potter
483,Flammarion
484,Fayard
485,Bibliothèque Interdite
486,"Random House of Canada, Limited"
487,Arrow Books Ltd
488,"New York: Penguin Books, 1987"
489,ARROW
490,Hamlyn
491,"New York: Arrow Books, 1991"
492,Feature
493,Seuil
494,Livre de Poche
495,CORGI ADULT
496,C W Daniel Company
497,"Little, Brown Book Group"
498,"Samuel French, Inc."
499,HarperCollins Australia
500,Star Bks.
501,Smithsonian Books
502,Lowell House
503,American Psychiatric Association Publishing
504,Fleuve noir
505,Methuen Young Books
506,Steck-Vaughn
507,Children's Press
508,Henry Holt and Co.
509,A. & A. Farmar
510,Crown
511,DAW
512,Hodderand Stoughton
513,Grasset
514,Dressler Verlag
515,"Loewe Vlg., Bindlach"
516,Kohlhammer
517,John Benjamins Publishing Co
518,Indiana University Press
519,Spiegel-Verlag
520,MIT Press
521,Cicerone Press
522,Stenlake Publishing
523,Webb & Bower
524,Carl Hanser VerlagGmbH & Co.
525,Farming Press Limited
526,Warner Books
527,Granada Publishing Limited
528,Dartnell Corp.
529,Verlag Chemie
530,Allen & Unwin Australia
531,New York Academy of Sciences
532,Edimat Libros
533,ADV Manga
534,Sutton Publishing Ltd
535,A.R.E. Press (Association of Research & Enlightenment)
536,Pan Books (UK)
537,HMH Books for Young Readers
538,Texas A University Press
539,Constable & Robinson
540,Métailié
541,Actes Sud-Papiers
542,G. P. Putnam's Sons
543,W. H. Freeman
544,American Geological Institute
545,Price Stern Sloan
546,Schwartz & Wade
547,Random House Books for Young Readers
548,Periplus Editions
549,Saunders
550,Adams Media Corporation
551,Tusquets Editores
552,Roca Editorial de Libros
553,Blackbirch Press
554,Blume
555,PULP Books
556,Watermark Publishing
